Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1960,-148155
Ecuador,ECU,Net migration,SM.POP.NETM,1960,-1746
Egypt, Arab Rep.,EGY,Net migration,1960,SM.POP.NETM
Euro area,EMU,Net migration,SM.POP.NETM,1960,-103429
Eritrea,ERI,Net migration,SM.POP.NETM,1960,1045
Spain,ESP,Net migration,SM.POP.NETM,1960,-154869
Estonia,EST,Net migration,SM.POP.NETM,1960,7762
Ethiopia,ETH,Net migration,SM.POP.NETM,1960,1696
European Union,EUU,Net migration,SM.POP.NETM,1960,-167571
Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,1960,-18696
Finland,FIN,Net migration,SM.POP.NETM,1960,-9489
Fiji,FJI,Net migration,SM.POP.NETM,1960,-981
France,FRA,Net migration,SM.POP.NETM,1960,143032
Faroe Islands,FRO,Net migration,SM.POP.NETM,1960,-63
Micronesia, Fed. Sts.,FSM,Net migration,1960,SM.POP.NETM
Gabon,GAB,Net migration,SM.POP.NETM,1960,0
United Kingdom,GBR,Net migration,SM.POP.NETM,1960,19953
Georgia,GEO,Net migration,SM.POP.NETM,1960,16740
Ghana,GHA,Net migration,SM.POP.NETM,1960,12181
Gibraltar,GIB,Net migration,SM.POP.NETM,1960,-338
Guinea,GIN,Net migration,SM.POP.NETM,1960,0
Gambia, The,GMB,Net migration,1960,SM.POP.NETM
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,1960,-8007
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,1960,210
Greece,GRC,Net migration,SM.POP.NETM,1960,-15996
Grenada,GRD,Net migration,SM.POP.NETM,1960,-2255
Greenland,GRL,Net migration,SM.POP.NETM,1960,234
Guatemala,GTM,Net migration,SM.POP.NETM,1960,-186
Guam,GUM,Net migration,SM.POP.NETM,1960,-343
Guyana,GUY,Net migration,SM.POP.NETM,1960,-3837
High income,HIC,Net migration,SM.POP.NETM,1960,155693
Hong Kong SAR, China,HKG,Net migration,1960,SM.POP.NETM
Honduras,HND,Net migration,SM.POP.NETM,1960,-4085
Heavily indebted poor countries (HIPC),HPC,Net migration,SM.POP.NETM,1960,-98188
Croatia,HRV,Net migration,SM.POP.NETM,1960,-21768
Haiti,HTI,Net migration,SM.POP.NETM,1960,-15862
Hungary,HUN,Net migration,SM.POP.NETM,1960,-1108
IBRD only,IBD,Net migration,SM.POP.NETM,1960,-404732
IDA & IBRD total,IBT,Net migration,SM.POP.NETM,1960,-475705
IDA total,IDA,Net migration,SM.POP.NETM,1960,-70973
IDA blend,IDB,Net migration,SM.POP.NETM,1960,13791
Indonesia,IDN,Net migration,SM.POP.NETM,1960,101631
IDA only,IDX,Net migration,SM.POP.NETM,1960,-84764
Isle of Man,IMN,Net migration,SM.POP.NETM,1960,-730
India,IND,Net migration,SM.POP.NETM,1960,146955
Not classified,INX,Net migration,SM.POP.NETM,1960,
Ireland,IRL,Net migration,SM.POP.NETM,1960,-38492
Iran, Islamic Rep.,IRN,Net migration,1960,SM.POP.NETM
Iraq,IRQ,Net migration,SM.POP.NETM,1960,1573
Iceland,ISL,Net migration,SM.POP.NETM,1960,-269
Israel,ISR,Net migration,SM.POP.NETM,1960,10990
Italy,ITA,Net migration,SM.POP.NETM,1960,-140765
Jamaica,JAM,Net migration,SM.POP.NETM,1960,-28952
Jordan,JOR,Net migration,SM.POP.NETM,1960,15509
Japan,JPN,Net migration,SM.POP.NETM,1960,-150371
Kazakhstan,KAZ,Net migration,SM.POP.NETM,1960,83525
Kenya,KEN,Net migration,SM.POP.NETM,1960,2134
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,1960,13946
Cambodia,KHM,Net migration,SM.POP.NETM,1960,-5339
Kiribati,KIR,Net migration,SM.POP.NETM,1960,0
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,1960,-1725
Korea, Rep.,KOR,Net migration,1960,SM.POP.NETM
Kuwait,KWT,Net migration,SM.POP.NETM,1960,21769
Latin America & Caribbean (excluding high income),LAC,Net migration,SM.POP.NETM,1960,-240297
Lao PDR,LAO,Net migration,SM.POP.NETM,1960,0
Lebanon,LBN,Net migration,SM.POP.NETM,1960,0
Liberia,LBR,Net migration,SM.POP.NETM,1960,1886
Libya,LBY,Net migration,SM.POP.NETM,1960,22559
St. Lucia,LCA,Net migration,SM.POP.NETM,1960,-2366
Latin America & Caribbean,LCN,Net migration,SM.POP.NETM,1960,-299395
Least developed countries: UN classification,LDC,Net migration,SM.POP.NETM,1960,-165859
Low income,LIC,Net migration,SM.POP.NETM,1960,-114845
Liechtenstein,LIE,Net migration,SM.POP.NETM,1960,123
Sri Lanka,LKA,Net migration,SM.POP.NETM,1960,-12610
Lower middle income,LMC,Net migration,SM.POP.NETM,1960,-85573
Low & middle income,LMY,Net migration,SM.POP.NETM,1960,-165045
Lesotho,LSO,Net migration,SM.POP.NETM,1960,1989
Late-demographic dividend,LTE,Net migration,SM.POP.NETM,1960,-422318
Lithuania,LTU,Net migration,SM.POP.NETM,1960,2328
Luxembourg,LUX,Net migration,SM.POP.NETM,1960,61
Latvia,LVA,Net migration,SM.POP.NETM,1960,11420
Macao SAR, China,MAC,Net migration,1960,SM.POP.NETM
St. Martin (French part),MAF,Net migration,SM.POP.NETM,1960,0
Morocco,MAR,Net migration,SM.POP.NETM,1960,-19434
Monaco,MCO,Net migration,SM.POP.NETM,1960,103
Moldova,MDA,Net migration,SM.POP.NETM,1960,13697
Madagascar,MDG,Net migration,SM.POP.NETM,1960,0
Maldives,MDV,Net migration,SM.POP.NETM,1960,-32
Middle East & North Africa,MEA,Net migration,SM.POP.NETM,1960,-20282
Mexico,MEX,Net migration,SM.POP.NETM,1960,-85591
Marshall Islands,MHL,Net migration,SM.POP.NETM,1960,63
Middle income,MIC,Net migration,SM.POP.NETM,1960,-50200
North Macedonia,MKD,Net migration,SM.POP.NETM,1960,-10126
Mali,MLI,Net migration,SM.POP.NETM,1960,-10314
Malta,MLT,Net migration,SM.POP.NETM,1960,-5540
Myanmar,MMR,Net migration,SM.POP.NETM,1960,8807
Middle East & North Africa (excluding high income),MNA,Net migration,SM.POP.NETM,1960,-65459
Montenegro,MNE,Net migration,SM.POP.NETM,1960,-2467
Mongolia,MNG,Net migration,SM.POP.NETM,1960,10334
Northern Mariana Islands,MNP,Net migration,SM.POP.NETM,1960,17
Mozambique,MOZ,Net migration,SM.POP.NETM,1960,-54351
Mauritania,MRT,Net migration,SM.POP.NETM,1960,-318
Mauritius,MUS,Net migration,SM.POP.NETM,1960,-7083
Malawi,MWI,Net migration,SM.POP.NETM,1960,0
Malaysia,MYS,Net migration,SM.POP.NETM,1960,-46948
North America,NAC,Net migration,SM.POP.NETM,1960,472345
Namibia,NAM,Net migration,SM.POP.NETM,1960,-3227
New Caledonia,NCL,Net migration,SM.POP.NETM,1960,824
Niger,NER,Net migration,SM.POP.NETM,1960,-3641
Nigeria,NGA,Net migration,SM.POP.NETM,1960,12131
Nicaragua,NIC,Net migration,SM.POP.NETM,1960,-2418
Netherlands,NLD,Net migration,SM.POP.NETM,1960,-13235
Norway,NOR,Net migration,SM.POP.NETM,1960,-1427
Nepal,NPL,Net migration,SM.POP.NETM,1960,-13223
Nauru,NRU,Net migration,SM.POP.NETM,1960,76
New Zealand,NZL,Net migration,SM.POP.NETM,1960,3846
OECD members,OED,Net migration,SM.POP.NETM,1960,276837
Oman,OMN,Net migration,SM.POP.NETM,1960,-2996
Other small states,OSS,Net migration,SM.POP.NETM,1960,-5814
Pakistan,PAK,Net migration,SM.POP.NETM,1960,0
Panama,PAN,Net migration,SM.POP.NETM,1960,-2409
Peru,PER,Net migration,SM.POP.NETM,1960,-7236
Philippines,PHL,Net migration,SM.POP.NETM,1960,-155354
Palau,PLW,Net migration,SM.POP.NETM,1960,-70
Papua New Guinea,PNG,Net migration,SM.POP.NETM,1960,-2034
Poland,POL,Net migration,SM.POP.NETM,1960,-6306
Pre-demographic dividend,PRE,Net migration,SM.POP.NETM,1960,-92553
Puerto Rico,PRI,Net migration,SM.POP.NETM,1960,-26328
Korea, Dem. People's Rep.,PRK,Net migration,1960,SM.POP.NETM
Portugal,PRT,Net migration,SM.POP.NETM,1960,-95886
Paraguay,PRY,Net migration,SM.POP.NETM,1960,-16811
West Bank and Gaza,PSE,Net migration,SM.POP.NETM,1960,-17662
Pacific island small states,PSS,Net migration,SM.POP.NETM,1960,-3432
Post-demographic dividend,PST,Net migration,SM.POP.NETM,1960,408448
French Polynesia,PYF,Net migration,SM.POP.NETM,1960,-957
Qatar,QAT,Net migration,SM.POP.NETM,1960,1586
Romania,ROU,Net migration,SM.POP.NETM,1960,-55397
Russian Federation,RUS,Net migration,SM.POP.NETM,1960,-234895
Rwanda,RWA,Net migration,SM.POP.NETM,1960,-13198
South Asia,SAS,Net migration,SM.POP.NETM,1960,138757
Saudi Arabia,SAU,Net migration,SM.POP.NETM,1960,15000
Sudan,SDN,Net migration,SM.POP.NETM,1960,2194
Senegal,SEN,Net migration,SM.POP.NETM,1960,9337
Singapore,SGP,Net migration,SM.POP.NETM,1960,2008
Solomon Islands,SLB,Net migration,SM.POP.NETM,1960,-917
Sierra Leone,SLE,Net migration,SM.POP.NETM,1960,-3528
El Salvador,SLV,Net migration,SM.POP.NETM,1960,-4885
San Marino,SMR,Net migration,SM.POP.NETM,1960,229
Somalia,SOM,Net migration,SM.POP.NETM,1960,750
Serbia,SRB,Net migration,SM.POP.NETM,1960,4377
Sub-Saharan Africa (excluding high income),SSA,Net migration,SM.POP.NETM,1960,-103283
South Sudan,SSD,Net migration,SM.POP.NETM,1960,995
Sub-Saharan Africa,SSF,Net migration,SM.POP.NETM,1960,-103463
Small states,SST,Net migration,SM.POP.NETM,1960,-23073
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,1960,-860
Suriname,SUR,Net migration,SM.POP.NETM,1960,544
Slovak Republic,SVK,Net migration,SM.POP.NETM,1960,4344
Slovenia,SVN,Net migration,SM.POP.NETM,1960,-929
Sweden,SWE,Net migration,SM.POP.NETM,1960,1080
Eswatini,SWZ,Net migration,SM.POP.NETM,1960,-2082
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,1960,180
Seychelles,SYC,Net migration,SM.POP.NETM,1960,-180
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,1960,0
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,1960,-121
Chad,TCD,Net migration,SM.POP.NETM,1960,-672
East Asia & Pacific (IDA & IBRD countries),TEA,Net migration,SM.POP.NETM,1960,-102376
Europe & Central Asia (IDA & IBRD countries),TEC,Net migration,SM.POP.NETM,1960,-111859
Togo,TGO,Net migration,SM.POP.NETM,1960,-13868
Thailand,THA,Net migration,SM.POP.NETM,1960,6886
Tajikistan,TJK,Net migration,SM.POP.NETM,1960,2457
Turkmenistan,TKM,Net migration,SM.POP.NETM,1960,1421
Latin America & the Caribbean (IDA & IBRD countries),TLA,Net migration,SM.POP.NETM,1960,-248967
Timor-Leste,TLS,Net migration,SM.POP.NETM,1960,0
Middle East & North Africa (IDA & IBRD countries),TMN,Net migration,SM.POP.NETM,1960,-47797
Tonga,TON,Net migration,SM.POP.NETM,1960,-384
South Asia (IDA & IBRD),TSA,Net migration,SM.POP.NETM,1960,138757
Sub-Saharan Africa (IDA & IBRD countries),TSS,Net migration,SM.POP.NETM,1960,-103463
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,1960,-5671
Tunisia,TUN,Net migration,SM.POP.NETM,1960,-61334
Turkiye,TUR,Net migration,SM.POP.NETM,1960,14948
Tuvalu,TUV,Net migration,SM.POP.NETM,1960,-79
Tanzania,TZA,Net migration,SM.POP.NETM,1960,1946
Uganda,UGA,Net migration,SM.POP.NETM,1960,-7586
Ukraine,UKR,Net migration,SM.POP.NETM,1960,52281
Upper middle income,UMC,Net migration,SM.POP.NETM,1960,35373
Uruguay,URY,Net migration,SM.POP.NETM,1960,2057
United States,USA,Net migration,SM.POP.NETM,1960,422708
Uzbekistan,UZB,Net migration,SM.POP.NETM,1960,22039
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,1960,-1476
Venezuela, RB,VEN,Net migration,1960,SM.POP.NETM
British Virgin Islands,VGB,Net migration,SM.POP.NETM,1960,-59
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,1960,1348
Viet Nam,VNM,Net migration,SM.POP.NETM,1960,0
Vanuatu,VUT,Net migration,SM.POP.NETM,1960,0
World,WLD,Net migration,SM.POP.NETM,1960,0
Samoa,WSM,Net migration,SM.POP.NETM,1960,-1333
Kosovo,XKX,Net migration,SM.POP.NETM,1960,3231
Yemen, Rep.,YEM,Net migration,1960,SM.POP.NETM
South Africa,ZAF,Net migration,SM.POP.NETM,1960,18891
Zambia,ZMB,Net migration,SM.POP.NETM,1960,-3898
Zimbabwe,ZWE,Net migration,SM.POP.NETM,1960,-8260
Aruba,ABW,Net migration,SM.POP.NETM,1961,-566.0
Africa Eastern and Southern,AFE,Net migration,SM.POP.NETM,1961,-38646.0
Afghanistan,AFG,Net migration,SM.POP.NETM,1961,6109.0
Africa Western and Central,AFW,Net migration,SM.POP.NETM,1961,-36991.0
Angola,AGO,Net migration,SM.POP.NETM,1961,-74774.0
Albania,ALB,Net migration,SM.POP.NETM,1961,829.0
Andorra,AND,Net migration,SM.POP.NETM,1961,655.0
Arab World,ARB,Net migration,SM.POP.NETM,1961,-145513.0
United Arab Emirates,ARE,Net migration,SM.POP.NETM,1961,3141.0
Argentina,ARG,Net migration,SM.POP.NETM,1961,26322.0
Armenia,ARM,Net migration,SM.POP.NETM,1961,12102.0
American Samoa,ASM,Net migration,SM.POP.NETM,1961,-93.0
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,1961,-685.0
Australia,AUS,Net migration,SM.POP.NETM,1961,64495.0
Austria,AUT,Net migration,SM.POP.NETM,1961,-2760.0
Azerbaijan,AZE,Net migration,SM.POP.NETM,1961,-171.0
Burundi,BDI,Net migration,SM.POP.NETM,1961,15094.0
Belgium,BEL,Net migration,SM.POP.NETM,1961,10566.0
Benin,BEN,Net migration,SM.POP.NETM,1961,-4791.0
Burkina Faso,BFA,Net migration,SM.POP.NETM,1961,-24687.0
Bangladesh,BGD,Net migration,SM.POP.NETM,1961,26503.0
Bulgaria,BGR,Net migration,SM.POP.NETM,1961,378.0
Bahrain,BHR,Net migration,SM.POP.NETM,1961,1076.0
Bahamas, The,BHS,Net migration,1961,2290.0
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,1961,-14655.0
Belarus,BLR,Net migration,SM.POP.NETM,1961,-26780.0
Belize,BLZ,Net migration,SM.POP.NETM,1961,-347.0
Bermuda,BMU,Net migration,SM.POP.NETM,1961,392.0
Bolivia,BOL,Net migration,SM.POP.NETM,1961,-3642.0
Brazil,BRA,Net migration,SM.POP.NETM,1961,75.0
Barbados,BRB,Net migration,SM.POP.NETM,1961,-3323.0
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,1961,1014.0
Bhutan,BTN,Net migration,SM.POP.NETM,1961,1586.0
Botswana,BWA,Net migration,SM.POP.NETM,1961,-4168.0
Central African Republic,CAF,Net migration,SM.POP.NETM,1961,474.0
Canada,CAN,Net migration,SM.POP.NETM,1961,34721.0
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,1961,-60353.0
Switzerland,CHE,Net migration,SM.POP.NETM,1961,101278.0
Channel Islands,CHI,Net migration,SM.POP.NETM,1961,685.0
Chile,CHL,Net migration,SM.POP.NETM,1961,-27159.0
China,CHN,Net migration,SM.POP.NETM,1961,-25578.0
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,1961,36410.0
Cameroon,CMR,Net migration,SM.POP.NETM,1961,0.0
Congo, Dem. Rep.,COD,Net migration,1961,27673.0
Congo, Rep.,COG,Net migration,1961,0.0
Colombia,COL,Net migration,SM.POP.NETM,1961,-47849.0
Comoros,COM,Net migration,SM.POP.NETM,1961,-1518.0
Cabo Verde,CPV,Net migration,SM.POP.NETM,1961,49.0
Costa Rica,CRI,Net migration,SM.POP.NETM,1961,924.0
Caribbean small states,CSS,Net migration,SM.POP.NETM,1961,-16116.0
Cuba,CUB,Net migration,SM.POP.NETM,1961,-33163.0
Curacao,CUW,Net migration,SM.POP.NETM,1961,-1306.0
Cayman Islands,CYM,Net migration,SM.POP.NETM,1961,-7.0
Cyprus,CYP,Net migration,SM.POP.NETM,1961,-3695.0
Czechia,CZE,Net migration,SM.POP.NETM,1961,-5712.0
Germany,DEU,Net migration,SM.POP.NETM,1961,27534.0
Djibouti,DJI,Net migration,SM.POP.NETM,1961,1136.0
Dominica,DMA,Net migration,SM.POP.NETM,1961,-1044.0
Denmark,DNK,Net migration,SM.POP.NETM,1961,3012.0
Dominican Republic,DOM,Net migration,SM.POP.NETM,1961,-14511.0
Algeria,DZA,Net migration,SM.POP.NETM,1961,-123928.0
East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,1961,-91793.0
Early-demographic dividend,EAR,Net migration,SM.POP.NETM,1961,137395.0
East Asia & Pacific,EAS,Net migration,SM.POP.NETM,1961,-345103.0
Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,1961,185063.0
Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1961,-119142.0
Ecuador,ECU,Net migration,SM.POP.NETM,1961,-1317.0
Egypt, Arab Rep.,EGY,Net migration,1961,-2954.0
Euro area,EMU,Net migration,SM.POP.NETM,1961,-197978.0
Eritrea,ERI,Net migration,SM.POP.NETM,1961,1235.0
Spain,ESP,Net migration,SM.POP.NETM,1961,-46517.0
Estonia,EST,Net migration,SM.POP.NETM,1961,7991.0
Ethiopia,ETH,Net migration,SM.POP.NETM,1961,6938.0
European Union,EUU,Net migration,SM.POP.NETM,1961,-261762.0
Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,1961,44852.0
Finland,FIN,Net migration,SM.POP.NETM,1961,-11828.0
Fiji,FJI,Net migration,SM.POP.NETM,1961,-943.0
France,FRA,Net migration,SM.POP.NETM,1961,128618.0
Faroe Islands,FRO,Net migration,SM.POP.NETM,1961,-119.0
Micronesia, Fed. Sts.,FSM,Net migration,1961,193.0
Gabon,GAB,Net migration,SM.POP.NETM,1961,0.0
United Kingdom,GBR,Net migration,SM.POP.NETM,1961,52295.0
Georgia,GEO,Net migration,SM.POP.NETM,1961,18016.0
Ghana,GHA,Net migration,SM.POP.NETM,1961,-48777.0
Gibraltar,GIB,Net migration,SM.POP.NETM,1961,-217.0
Guinea,GIN,Net migration,SM.POP.NETM,1961,0.0
Gambia, The,GMB,Net migration,1961,2272.0
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,1961,-3575.0
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,1961,384.0
Greece,GRC,Net migration,SM.POP.NETM,1961,-61102.0
Grenada,GRD,Net migration,SM.POP.NETM,1961,-2565.0
Greenland,GRL,Net migration,SM.POP.NETM,1961,-24.0
Guatemala,GTM,Net migration,SM.POP.NETM,1961,797.0
Guam,GUM,Net migration,SM.POP.NETM,1961,-171.0
Guyana,GUY,Net migration,SM.POP.NETM,1961,-5267.0
High income,HIC,Net migration,SM.POP.NETM,1961,66833.0
Hong Kong SAR, China,HKG,Net migration,1961,20811.0
Honduras,HND,Net migration,SM.POP.NETM,1961,-4838.0
Heavily indebted poor countries (HIPC),HPC,Net migration,SM.POP.NETM,1961,-91662.0
Croatia,HRV,Net migration,SM.POP.NETM,1961,-6567.0
Haiti,HTI,Net migration,SM.POP.NETM,1961,-15902.0
Hungary,HUN,Net migration,SM.POP.NETM,1961,-1177.0
IBRD only,IBD,Net migration,SM.POP.NETM,1961,-265531.0
IDA & IBRD total,IBT,Net migration,SM.POP.NETM,1961,-347782.0
IDA total,IDA,Net migration,SM.POP.NETM,1961,-82251.0
IDA blend,IDB,Net migration,SM.POP.NETM,1961,-17921.0
Indonesia,IDN,Net migration,SM.POP.NETM,1961,103628.0
IDA only,IDX,Net migration,SM.POP.NETM,1961,-64330.0
Isle of Man,IMN,Net migration,SM.POP.NETM,1961,195.0
India,IND,Net migration,SM.POP.NETM,1961,295177.0
Not classified,INX,Net migration,SM.POP.NETM,1961,
Ireland,IRL,Net migration,SM.POP.NETM,1961,-22237.0
Iran, Islamic Rep.,IRN,Net migration,1961,54041.0
Iraq,IRQ,Net migration,SM.POP.NETM,1961,2981.0
Iceland,ISL,Net migration,SM.POP.NETM,1961,164.0
Israel,ISR,Net migration,SM.POP.NETM,1961,34482.0
Italy,ITA,Net migration,SM.POP.NETM,1961,-129761.0
Jamaica,JAM,Net migration,SM.POP.NETM,1961,-28416.0
Jordan,JOR,Net migration,SM.POP.NETM,1961,11097.0
Japan,JPN,Net migration,SM.POP.NETM,1961,-58882.0
Kazakhstan,KAZ,Net migration,SM.POP.NETM,1961,85981.0
Kenya,KEN,Net migration,SM.POP.NETM,1961,4296.0
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,1961,18355.0
Cambodia,KHM,Net migration,SM.POP.NETM,1961,-4764.0
Kiribati,KIR,Net migration,SM.POP.NETM,1961,0.0
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,1961,-2256.0
Korea, Rep.,KOR,Net migration,1961,47245.0
Kuwait,KWT,Net migration,SM.POP.NETM,1961,24618.0
Latin America & Caribbean (excluding high income),LAC,Net migration,SM.POP.NETM,1961,-215599.0
Lao PDR,LAO,Net migration,SM.POP.NETM,1961,0.0
Lebanon,LBN,Net migration,SM.POP.NETM,1961,4844.0
Liberia,LBR,Net migration,SM.POP.NETM,1961,2115.0
Libya,LBY,Net migration,SM.POP.NETM,1961,22504.0
St. Lucia,LCA,Net migration,SM.POP.NETM,1961,-2189.0
Latin America & Caribbean,LCN,Net migration,SM.POP.NETM,1961,-273883.0
Least developed countries: UN classification,LDC,Net migration,SM.POP.NETM,1961,-114799.0
Low income,LIC,Net migration,SM.POP.NETM,1961,-66856.0
Liechtenstein,LIE,Net migration,SM.POP.NETM,1961,200.0
Sri Lanka,LKA,Net migration,SM.POP.NETM,1961,-10144.0
Lower middle income,LMC,Net migration,SM.POP.NETM,1961,-9744.0
Low & middle income,LMY,Net migration,SM.POP.NETM,1961,-71335.0
Lesotho,LSO,Net migration,SM.POP.NETM,1961,2100.0
Late-demographic dividend,LTE,Net migration,SM.POP.NETM,1961,-398946.0
Lithuania,LTU,Net migration,SM.POP.NETM,1961,2550.0
Luxembourg,LUX,Net migration,SM.POP.NETM,1961,1969.0
Latvia,LVA,Net migration,SM.POP.NETM,1961,12364.0
Macao SAR, China,MAC,Net migration,1961,-8727.0
St. Martin (French part),MAF,Net migration,SM.POP.NETM,1961,0.0
Morocco,MAR,Net migration,SM.POP.NETM,1961,-40413.0
Monaco,MCO,Net migration,SM.POP.NETM,1961,52.0
Moldova,MDA,Net migration,SM.POP.NETM,1961,14818.0
Madagascar,MDG,Net migration,SM.POP.NETM,1961,0.0
Maldives,MDV,Net migration,SM.POP.NETM,1961,-44.0
Middle East & North Africa,MEA,Net migration,SM.POP.NETM,1961,-41709.0
Mexico,MEX,Net migration,SM.POP.NETM,1961,-56174.0
Marshall Islands,MHL,Net migration,SM.POP.NETM,1961,56.0
Middle income,MIC,Net migration,SM.POP.NETM,1961,-4479.0
North Macedonia,MKD,Net migration,SM.POP.NETM,1961,-6309.0
Mali,MLI,Net migration,SM.POP.NETM,1961,-10139.0
Malta,MLT,Net migration,SM.POP.NETM,1961,-5099.0
